"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingReport","EHDSImagingReport","","","",0,*,"","","","null {[]} {[]}
","Imaging report model","A - EHDS refined base model for Imaging Result Report","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingReport.imagingReportHeader","EHDSImagingReport.imagingReportHeader","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImagingReportHeader {[]} {[]}
","A.1 - Imaging Report header","Report header data elements","","","","","","","","","",,,,,"",,,,"EHDSImagingReport.imagingReportHeader",1,1,"",""
"EHDSImagingReport.imagingReportBody","EHDSImagingReport.imagingReportBody","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImagingReportBody {[]} {[]}
","A.2 - Imaging Report body","Report body data elements","","","","","","","","","",,,,,"",,,,"EHDSImagingReport.imagingReportBody",1,1,"",""
"EHDSImagingReport.presentedForms","EHDSImagingReport.presentedForms","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","A.3 - Presented forms","Entire report as issued. Various formats could be provided,  pdf format is recommended.","","","","","","","","","",,,,,"",,,,"EHDSImagingReport.presentedForms",0,*,"",""
"EHDSImagingReport.imagingReportAttachments[x]","EHDSImagingReport.imagingReportAttachments[x]","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedia {[]} {[]}","A.4 - Attachment, Media","Report attachments data elements","","","","","","","","","",,,,,"",,,,"EHDSImagingReport.imagingReportAttachments[x]",0,*,"",""
