"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAddress","EHDSAddress.use","EHDSAddress.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.1 - Use","Purpose of the address","","","","","","","","","",,"preferred","HL7 AddressUse","","",,,,"EHDSAddress.use",0,1,"",""
"EHDSAddress","EHDSAddress.type","EHDSAddress.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.2 - Type","Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.","","","","","","","","","",,"preferred","HL7 AddressType","","",,,,"EHDSAddress.type",0,1,"",""
"EHDSAddress","EHDSAddress.text","EHDSAddress.text","","","",1,1,"","","","string {[]} {[]}
","C.5.3 - Text","Text represenation of the address","","","","","","","","","",,,,,"",,,,"EHDSAddress.text",1,1,"",""
"EHDSAddress","EHDSAddress.street","EHDSAddress.street","","","",0,1,"","","","string {[]} {[]}
","C.5.4 - Street","Name of the street","","","","","","","","","",,,,,"",,,,"EHDSAddress.street",0,1,"",""
"EHDSAddress","EHDSAddress.houseNumber","EHDSAddress.houseNumber","","","",0,1,"","","","string {[]} {[]}
","C.5.5 - House number","House number","","","","","","","","","",,,,,"",,,,"EHDSAddress.houseNumber",0,1,"",""
"EHDSAddress","EHDSAddress.pOBox","EHDSAddress.pOBox","","","",0,1,"","","","string {[]} {[]}
","C.5.6 - P.O. Box","Post box","","","","","","","","","",,,,,"",,,,"EHDSAddress.pOBox",0,1,"",""
"EHDSAddress","EHDSAddress.city","EHDSAddress.city","","","",0,1,"","","","string {[]} {[]}
","C.5.7 - City","City","","","","","","","","","",,,,,"",,,,"EHDSAddress.city",0,1,"",""
"EHDSAddress","EHDSAddress.postalCode","EHDSAddress.postalCode","","","",0,1,"","","","string {[]} {[]}
","C.5.8 - Postal code","Postal code","","","","","","","","","",,,,,"",,,,"EHDSAddress.postalCode",0,1,"",""
"EHDSAddress","EHDSAddress.country","EHDSAddress.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.9 - Country","Country name and country code","","","","","","","","","",,"preferred","ISO 3166-1-2","","",,,,"EHDSAddress.country",0,1,"",""
"EHDSAttachment","EHDSAttachment","EHDSAttachment","","","",0,*,"","","","null {[]} {[]}
","Attachment (model)","C.7 - EHDS refined base model for This type is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAttachment","EHDSAttachment.contentType","EHDSAttachment.contentType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.7.1 - Content Type","Mime type of the content, with charset etc.","","","","","","","","","",,"preferred","BCP-13","","",,,,"EHDSAttachment.contentType",0,1,"",""
"EHDSAttachment","EHDSAttachment.language","EHDSAttachment.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.7.2 - Language","Human language of the content","","","","","","","","","",,"preferred","ISO 639","","",,,,"EHDSAttachment.language",0,1,"",""
"EHDSAttachment","EHDSAttachment.data","EHDSAttachment.data","","","",0,1,"","","","base64Binary {[]} {[]}
","C.7.3 - Data","The actual data of the attachment - a sequence of bytes, base64 encoded.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.data",0,1,"",""
"EHDSAttachment","EHDSAttachment.url","EHDSAttachment.url","","","",0,1,"","","","uri {[]} {[]}
","C.7.4 - URL","A location where the data can be accessed.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.url",0,1,"",""
"EHDSAttachment","EHDSAttachment.size","EHDSAttachment.size","","","",0,1,"","","","integer64 {[]} {[]}
","C.7.5 - Size","The number of bytes of data that make up this attachment (before base64 encoding).","","","","","","","","","",,,,,"",,,,"EHDSAttachment.size",0,1,"",""
"EHDSAttachment","EHDSAttachment.hash","EHDSAttachment.hash","","","",0,1,"","","","base64Binary {[]} {[]}
","C.7.6 - Hash","The calculated hash of the data using SHA-1. Represented using base64.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.hash",0,1,"",""
"EHDSAttachment","EHDSAttachment.title","EHDSAttachment.title","","","",0,1,"","","","string {[]} {[]}
","C.7.7 - Title","A label or set of text to display in place of the data.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.title",0,1,"",""
"EHDSAttachment","EHDSAttachment.creationDate","EHDSAttachment.creationDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.7.8 - Creation date","The date that the attachment was created.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.creationDate",0,1,"",""
"EHDSCondition","EHDSCondition","EHDSCondition","","","",0,*,"","","","null {[]} {[]}
","Condition (model)","C.15 - EHDS refined base model for A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
