"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSCondition","EHDSCondition.clinicalStatus","EHDSCondition.clinicalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Status of the condition/problem (active, resolved, inactive, ...)","Status of the condition/problem (active, resolved, inactive, ...)","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.15 eHDSIStatusCode (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/condition-clinical (HL7, required in HL7 FHIR)","","",,,,"EHDSCondition.clinicalStatus",0,1,"",""
"EHDSCondition","EHDSCondition.severity","EHDSCondition.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A subjective assessment of the severity of the condition as evaluated by the clinician.","A subjective assessment of the severity of the condition as evaluated by the clinician.","","","","","","","","","",,"preferred","1.3.6.1.4.1.12559.11.10.1.3.1.42.13 eHDSISeverity (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/condition-severity (SCT, Preferred in HL7 FHIR); Basic 3-Value Severity Scale Value: Mild-Moderate-Severe http://id.who.int/icd/entity/681697550 (ICD-11)","","",,,,"EHDSCondition.severity",0,1,"",""
"EHDSDataSet","EHDSDataSet","EHDSDataSet","","","",0,*,"","","","null {[]} {[]}
","DataSet model","Common elements (including header) for all documents and their independently functioning parts, e.g FHIR resources.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSDataSet","EHDSDataSet.header","EHDSDataSet.header","","","",1,*,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSDataSet","EHDSDataSet.header.subject","EHDSDataSet.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDataSet","EHDSDataSet.header.identifier","EHDSDataSet.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDataSet","EHDSDataSet.header.authorship","EHDSDataSet.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSDataSet","EHDSDataSet.header.authorship.author[x]","EHDSDataSet.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSDataSet","EHDSDataSet.header.authorship.datetime","EHDSDataSet.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSDataSet","EHDSDataSet.header.lastUpdate","EHDSDataSet.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
