"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAddress","EHDSAddress","","","",0,*,"","","","null {[]} {[]}
","Address model","C.5 - EHDS refined base model for Address structure","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAddress.use","EHDSAddress.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.1 - Use","Purpose of the address","","","","","","","","","",,"preferred","HL7 AddressUse","","",,,,"EHDSAddress.use",0,1,"",""
"EHDSAddress.type","EHDSAddress.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.2 - Type","Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.","","","","","","","","","",,"preferred","HL7 AddressType","","",,,,"EHDSAddress.type",0,1,"",""
"EHDSAddress.text","EHDSAddress.text","","","",1,1,"","","","string {[]} {[]}
","C.5.3 - Text","Text represenation of the address","","","","","","","","","",,,,,"",,,,"EHDSAddress.text",1,1,"",""
"EHDSAddress.street","EHDSAddress.street","","","",0,1,"","","","string {[]} {[]}
","C.5.4 - Street","Name of the street","","","","","","","","","",,,,,"",,,,"EHDSAddress.street",0,1,"",""
"EHDSAddress.houseNumber","EHDSAddress.houseNumber","","","",0,1,"","","","string {[]} {[]}
","C.5.5 - House number","House number","","","","","","","","","",,,,,"",,,,"EHDSAddress.houseNumber",0,1,"",""
"EHDSAddress.pOBox","EHDSAddress.pOBox","","","",0,1,"","","","string {[]} {[]}
","C.5.6 - P.O. Box","Post box","","","","","","","","","",,,,,"",,,,"EHDSAddress.pOBox",0,1,"",""
"EHDSAddress.city","EHDSAddress.city","","","",0,1,"","","","string {[]} {[]}
","C.5.7 - City","City","","","","","","","","","",,,,,"",,,,"EHDSAddress.city",0,1,"",""
"EHDSAddress.postalCode","EHDSAddress.postalCode","","","",0,1,"","","","string {[]} {[]}
","C.5.8 - Postal code","Postal code","","","","","","","","","",,,,,"",,,,"EHDSAddress.postalCode",0,1,"",""
"EHDSAddress.country","EHDSAddress.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.5.9 - Country","Country name and country code","","","","","","","","","",,"preferred","ISO 3166-1-2","","",,,,"EHDSAddress.country",0,1,"",""
