"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAttachment","EHDSAttachment","","","",0,*,"","","","null {[]} {[]}
","Attachment (model)","C.7 - EHDS refined base model for This type is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAttachment.contentType","EHDSAttachment.contentType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.7.1 - Content Type","Mime type of the content, with charset etc.","","","","","","","","","",,"preferred","BCP-13","","",,,,"EHDSAttachment.contentType",0,1,"",""
"EHDSAttachment.language","EHDSAttachment.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.7.2 - Language","Human language of the content","","","","","","","","","",,"preferred","ISO 639","","",,,,"EHDSAttachment.language",0,1,"",""
"EHDSAttachment.data","EHDSAttachment.data","","","",0,1,"","","","base64Binary {[]} {[]}
","C.7.3 - Data","The actual data of the attachment - a sequence of bytes, base64 encoded.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.data",0,1,"",""
"EHDSAttachment.url","EHDSAttachment.url","","","",0,1,"","","","uri {[]} {[]}
","C.7.4 - URL","A location where the data can be accessed.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.url",0,1,"",""
"EHDSAttachment.size","EHDSAttachment.size","","","",0,1,"","","","integer64 {[]} {[]}
","C.7.5 - Size","The number of bytes of data that make up this attachment (before base64 encoding).","","","","","","","","","",,,,,"",,,,"EHDSAttachment.size",0,1,"",""
"EHDSAttachment.hash","EHDSAttachment.hash","","","",0,1,"","","","base64Binary {[]} {[]}
","C.7.6 - Hash","The calculated hash of the data using SHA-1. Represented using base64.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.hash",0,1,"",""
"EHDSAttachment.title","EHDSAttachment.title","","","",0,1,"","","","string {[]} {[]}
","C.7.7 - Title","A label or set of text to display in place of the data.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.title",0,1,"",""
"EHDSAttachment.creationDate","EHDSAttachment.creationDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.7.8 - Creation date","The date that the attachment was created.","","","","","","","","","",,,,,"",,,,"EHDSAttachment.creationDate",0,1,"",""
