Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	13436	-	0	0	0	0	0	0	9	73	0	0	0	0	0	0	0	1	0	0	87	91	0	0	0	2	0	1
fsh-generated/resources/ActorDefinition-SummaryConsumer.json	138	19	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	15	0	0	1	0	0	0
fsh-generated/resources/ActorDefinition-SummaryProvider.json	138	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	22	0	10	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	71	831	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5806	16	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	75	170	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	15	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	55	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	7117	7	0	30	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	77	179	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	89	134	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5094	6	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	53	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	3323	4	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	76	0	0	0	1	0	0
